template,data_modality,task_type
d781ed63c51e,single_table,classification
9bb9ffcac9e7,single_table,classification
114d6c40ae9f,single_table,regression
816ea7a09986,single_table,regression
03e8e75698d6,single_table,regression
d781ed63c51e,single_table,graph_matching
d781ed63c51e,single_table,forecasting
d781ed63c51e,single_table,link_prediction
d781ed63c51e,single_table,community_detection
d781ed63c51e,single_table,vertex_classification
d781ed63c51e,single_table,object_detection
dbd359409d05,multi_table,classification
05f103916567,multi_table,regression
d781ed63c51e,multi_table,graph_matching
d781ed63c51e,multi_table,forecasting
d781ed63c51e,multi_table,link_prediction
d781ed63c51e,multi_table,community_detection
d781ed63c51e,multi_table,vertex_classification
d781ed63c51e,multi_table,object_detection
d781ed63c51e,graph,classification
d781ed63c51e,graph,regression
d781ed63c51e,graph,graph_matching
d781ed63c51e,graph,forecasting
d781ed63c51e,graph,link_prediction
d781ed63c51e,graph,vertex_classification
d781ed63c51e,graph,object_detection
